taskId,title,description,courseId,recurrence,priority,exam,occurrenceId,date_due,note,isCompleted,isCancelled
phys130-assignment,PHYS 130 Weekly Assignment,Weekly PHYS 130 assignment; remembered as easy. Monday due dates are reconstructed.,PHYS130,weekly,2,False,phys130-assignment-occ-01,2023-09-11,Assignment 1; estimated due date,True,False
chem103-assignment,CHEM 103 Biweekly Assignment,Biweekly CHEM 103 assignment; remembered as not very hard.,CHEM103,biweekly,2,False,chem103-assignment-occ-01,2023-09-13,Assignment 1,True,False
engg130-lab-quiz,ENGG 130 Lab Quiz,Weekly in-person ENGG 130 lab quiz; remembered as very hard.,ENGG130,weekly,5,False,engg130-lab-quiz-occ-01,2023-09-14,Lab quiz 1,True,False
math100-assignment,MATH 100 Biweekly Assignment,Biweekly MATH 100 assignment; remembered as extremely hard.,MATH100,biweekly,5,False,math100-assignment-occ-01,2023-09-15,Assignment 1,True,False
phys130-assignment,PHYS 130 Weekly Assignment,Weekly PHYS 130 assignment; remembered as easy. Monday due dates are reconstructed.,PHYS130,weekly,2,False,phys130-assignment-occ-02,2023-09-18,Assignment 2; estimated due date,True,False
chem103-lab-report,CHEM 103 Lab Report,Lab report due one week after the alternating in-person CHEM lab.,CHEM103,biweekly,3,False,chem103-lab-report-occ-01,2023-09-19,Lab report 1; lab held 2023-09-12,True,False
phys130-lab,PHYS 130 Lab,Alternating PHYS 130 lab; remembered as easy.,PHYS130,biweekly,2,False,phys130-lab-occ-01,2023-09-19,Lab 1,True,False
engg130-lab-quiz,ENGG 130 Lab Quiz,Weekly in-person ENGG 130 lab quiz; remembered as very hard.,ENGG130,weekly,5,False,engg130-lab-quiz-occ-02,2023-09-21,Lab quiz 2,True,False
engg100-assignment-1,ENGG 100 Assignment 1,"One of six ENGG 100 assignments; generally easy, with variable time requirements.",ENGG100,once,1,False,engg100-assignment-1-occ-01,2023-09-22,Estimated date,True,False
encmp100-assignment,ENCMP 100 Assignment,Biweekly assignment associated with very easy lab/help periods. Due dates reconstructed.,ENCMP100,biweekly,2,False,encmp100-assignment-occ-01,2023-09-24,Assignment 1; estimated due date,True,False
phys130-assignment,PHYS 130 Weekly Assignment,Weekly PHYS 130 assignment; remembered as easy. Monday due dates are reconstructed.,PHYS130,weekly,2,False,phys130-assignment-occ-03,2023-09-25,Assignment 3; estimated due date,True,False
chem103-assignment,CHEM 103 Biweekly Assignment,Biweekly CHEM 103 assignment; remembered as not very hard.,CHEM103,biweekly,2,False,chem103-assignment-occ-02,2023-09-27,Assignment 2,True,False
engg130-lab-quiz,ENGG 130 Lab Quiz,Weekly in-person ENGG 130 lab quiz; remembered as very hard.,ENGG130,weekly,5,False,engg130-lab-quiz-occ-03,2023-09-28,Lab quiz 3,True,False
math100-assignment,MATH 100 Biweekly Assignment,Biweekly MATH 100 assignment; remembered as extremely hard.,MATH100,biweekly,5,False,math100-assignment-occ-02,2023-09-29,Assignment 2,True,False
phys130-assignment,PHYS 130 Weekly Assignment,Weekly PHYS 130 assignment; remembered as easy. Monday due dates are reconstructed.,PHYS130,weekly,2,False,phys130-assignment-occ-04,2023-10-02,Assignment 4; estimated due date,True,False
chem103-lab-report,CHEM 103 Lab Report,Lab report due one week after the alternating in-person CHEM lab.,CHEM103,biweekly,3,False,chem103-lab-report-occ-02,2023-10-03,Lab report 2; lab held 2023-09-26,True,False
phys130-lab,PHYS 130 Lab,Alternating PHYS 130 lab; remembered as easy.,PHYS130,biweekly,2,False,phys130-lab-occ-02,2023-10-03,Lab 2,True,False
engg130-lab-quiz,ENGG 130 Lab Quiz,Weekly in-person ENGG 130 lab quiz; remembered as very hard.,ENGG130,weekly,5,False,engg130-lab-quiz-occ-04,2023-10-05,Lab quiz 4,True,False
